id,taxonomia,r_p_v_e,intensidad,alcaldia,entidad,area_m2,perime_m,intens_num,int2
19,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,12955.82438,488.0834752,30 a 33.9,3
25,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,282519.2478,2524.607518,34 a 37.6,4
37,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,1165032.265,5783.35146,30 a 33.9,3
56,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,795548.3644,4693.752691,30 a 33.9,3
65,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,251972.246,2014.15274,34 a 37.6,4
73,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,221730.769,2131.306191,34 a 37.6,4
78,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,220684.882,3815.721368,34 a 37.6,4
87,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,255621.0733,2792.325638,34 a 37.6,4
88,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,237587.614,2201.062888,34 a 37.6,4
92,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,379083.7856,2760.530873,34 a 37.6,4
94,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,147197.4345,1714.021527,34 a 37.6,4
2393,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,416375.0108,2634.278582,34 a 37.6,4
2446,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,17367027.04,22945.80347,30 a 33.9,3
29,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,240445.1294,2367.409339,30 a 33.9,3
30,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,237761.7265,2020.137337,34 a 37.6,4
48,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,117203.1691,2029.602428,34 a 37.6,4
62,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,147112.3601,2021.844466,34 a 37.6,4
68,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,182431.1705,1914.020142,34 a 37.6,4
71,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,150758.2614,1653.112731,34 a 37.6,4
95,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,272482.294,2390.43431,34 a 37.6,4
108,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,182500.1124,1877.548546,30 a 33.9,3
182,Temperaturas máximas,Peligro,Alto,Xochimilco,Ciudad de México,642972.8066,3820.273215,34 a 37.6,4
200,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,134160.3993,1867.536738,30 a 33.9,3
209,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,198242.7808,2582.284301,30 a 33.9,3
212,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,274919.8949,2441.450509,30 a 33.9,3
214,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,1167978.684,6886.842723,30 a 33.9,3
243,Temperaturas máximas,Peligro,Alto,Álvaro Obregón,Ciudad de México,164202.725,2232.129251,34 a 37.6,4
248,Temperaturas máximas,Peligro,Alto,Tláhuac,Ciudad de México,311177.7307,3053.041939,34 a 37.6,4
249,Temperaturas máximas,Peligro,Alto,Tláhuac,Ciudad de México,133108.0287,1700.987721,34 a 37.6,4
304,Temperaturas máximas,Peligro,Medio,Tláhuac,Ciudad de México,874968.6556,5029.214816,30 a 33.9,3
346,Temperaturas máximas,Peligro,Alto,Tláhuac,Ciudad de México,438947.1939,3038.791377,34 a 37.6,4
351,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,331818.0648,2871.988853,30 a 33.9,3
359,Temperaturas máximas,Peligro,Alto,Tláhuac,Ciudad de México,31210.31442,716.7108301,34 a 37.6,4
418,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,454167.9126,4024.452623,30 a 33.9,3
435,Temperaturas máximas,Peligro,Alto,Tláhuac,Ciudad de México,352161.5949,2721.998006,34 a 37.6,4
460,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,451785.8366,3596.794747,30 a 33.9,3
483,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,5990.91238,316.0653313,30 a 33.9,3
518,Temperaturas máximas,Peligro,Alto,Álvaro Obregón,Ciudad de México,313762.8882,3085.894086,34 a 37.6,4
537,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,309394.7546,3069.995376,30 a 33.9,3
563,Temperaturas máximas,Peligro,Alto,Tláhuac,Ciudad de México,223619.6285,2080.653203,34 a 37.6,4
584,Temperaturas máximas,Peligro,Medio,Milpa Alta,Ciudad de México,864923.8071,4834.560197,30 a 33.9,3
592,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,301077.7595,3063.075794,34 a 37.6,4
622,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,363387.4956,2691.271611,30 a 33.9,3
631,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,420807.1303,3375.004479,34 a 37.6,4
643,Temperaturas máximas,Peligro,Medio,La Magdalena Contreras,Ciudad de México,42883.04715,851.9836924,30 a 33.9,3
658,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,113868.6025,1939.33373,30 a 33.9,3
668,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,89903.83632,1284.567709,34 a 37.6,4
675,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,981506.1598,5933.164493,34 a 37.6,4
687,Temperaturas máximas,Peligro,Medio,Iztacalco,Ciudad de México,71250.07707,1250.296789,30 a 33.9,3
688,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,151066.4026,1789.340596,34 a 37.6,4
711,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,191091.005,1884.134794,34 a 37.6,4
715,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,420708.4721,4868.602109,34 a 37.6,4
